reportno,date,description,street ,zipcode
1,2014-04-06,Everyone's fault,1 POPLAR ST,60101
2,2016-09-09,Everyone's fault,2 HAYMAKER RD,60102
3,2016-06-10,Everyone's fault,3 SANTOS ST,60103
4,2014-07-13,Customer's fault,32 MORROW RD,60132
5,2015-08-20,Not Customer's fault,33 WASHINGTON RD,60133
6,2015-04-25,Customer's fault,34 WEST MAIN STREET ST,60134
7,2015-02-06,Customer's fault,35 CALIFORNIA AVE AV,60135
8,2016-05-20,Everyone's fault,36 BUSINESS 60 EX,60136
9,2016-09-08,Not Customer's fault,37 LITTLE PINE CREEK RD,60137
10,2014-07-02,Everyone's fault,38 OLD STATE RD,60138
11,2015-03-03,Everyone's fault,39 THOMS RUN RD,60139
12,2016-04-04,Customer's fault,40 DUQUESNE AV,60140
13,2015-03-13,Not Customer's fault,41 WEXFORD RD,60141
14,2014-08-01,Everyone's fault,42 STATE ROUTE 51 NORTH HW,60142
15,2016-05-21,Not Customer's fault,43 SMITHFIELD STREET ST,60143
16,2016-02-02,Everyone's fault,44 HOMESTEAD HIGH LEVEL BR,60144
17,2014-09-18,Customer's fault,45 STATE RT 51 HW,60145
18,2016-01-24,Not Customer's fault,46 POTATO GARDEN RUN RD,60146
19,2014-06-15,Not Customer's fault,47 NORTH LEWIS RUN ROAD RD,60147
20,2016-09-22,Not Customer's fault,48 CHARLES ST,60148
21,2015-09-04,Customer's fault,49 WASHINGTON RD,60149
22,2016-02-14,Customer's fault,50 PERRY HW,60150
23,2016-10-11,Not Customer's fault,51 SCHIENBACH ROAD RD,60151
24,2016-01-30,Not Customer's fault,52 CONGRESS ST,60152
25,2015-07-01,Customer's fault,53 SCRUBGRASS RD,60153
26,2016-03-07,Everyone's fault,54 ELIZABETH AVENUE AV,60154
27,2016-05-05,Customer's fault,244 BABCOCK BL,60344
28,2015-03-14,Not Customer's fault,245 WALNUT ST,60345
29,2015-04-29,Everyone's fault,246 EAST OHIO ST,60346
30,2014-04-07,Everyone's fault,247 STATE ROUTE 51 HW,60347
31,2014-04-26,Not Customer's fault,248 CLAIRTON BL,60348
32,2015-03-24,Not Customer's fault,249 NORTHGATE DR,60349
33,2014-04-09,Customer's fault,250 NORTH STATE ST,60350
34,2016-03-14,Customer's fault,251 MT.ROYAL BL,60351
35,2015-04-21,Not Customer's fault,252 E. PITTSBURGH MCJEESPORT BL,60352
36,2014-09-08,Everyone's fault,253 GRALL AV,60353
37,2015-02-22,Everyone's fault,254 PERRY HW,60354
38,2015-09-07,Not Customer's fault,255 WARRENDALE-BAYNE (TBK) RD,60355
39,2015-05-02,Not Customer's fault,256 CLAIRTON BL,60356
40,2014-12-21,Customer's fault,257 LINCOLN AV,60357
41,2015-08-28,Customer's fault,258 CURRY HOLLOW RD,60358
42,2015-08-14,Not Customer's fault,259 E. OHIO ST,60359
43,2015-04-23,Not Customer's fault,260 UNIVERSITY BL,60360
44,2015-10-18,Customer's fault,261 ROUTE 885 HW,60361
45,2016-06-30,Everyone's fault,262 MT. ROYAL BL,60362
46,2016-01-29,Customer's fault,263 BUTLER ST,60363
47,2015-08-14,Customer's fault,264 N. PIONEER RD,60364
48,2016-10-14,Everyone's fault,265 ANDERSON RD,60365
49,2014-05-31,Customer's fault,266 CLAIRTON BL,60366
50,2015-01-14,Customer's fault,267 LINCOLN HW,60367
51,2016-08-11,Not Customer's fault,268 LYSLE BL,60368
52,2015-06-13,Customer's fault,269 BOYCE RD,60369
