street ,zipcode,city,state,,,
1 POPLAR ST,60101,ABINGDON,IL,,,
2 HAYMAKER RD,60102,ADAIR,IL,,, 
3 SANTOS ST,60103,ADDISON,IL,,, 
4 NOBLESTOWN RD,60104,ALEXIS,IL,,, 
5 SAXONBURG RD,60105,SHANGHAI CITY,IL,,, 
6 CLAIRTON BL,60106,ALGONQUIN,IL,,, 
7 PONY HOLLOW RD,60107,LAKE IN THE HILLS,IL,,, 
8 COAL-VALLEY RD. RD,60108,LK IN THE HLS,IL,,, 
9 WASHINGTON AV,60109,BARRINGTON HILLS,IL,,, 
10 MAIN ST,60110,LAKE IN THE HILLS,IL,,, 
11 SECOND AVE. AV,60111,ALGONQUIN,IL,,, 
12 GREENTREE RD,60112,LK IN THE HLS,IL,,, 
13 GREENSBURG AV,60113,LK IN THE HILLS,IL,,, 
14 GLENSHAW AV,60114,ALPHA,IL,,, 
15 LITTLE DEER CREEK RD,60115,OPHIEM,IL,,, 
16 STOOPS FERRY RD,60116,OPHEIM,IL,,, 
17 WASHINGTON PK,60117,ALTONA,IL,,, 
18 RIVER RD,60118,AMBOY,IL,,, 
19 WEST RUN RD,60119,BINGHAMPTON,IL,,, 
20 GIBSONIA RD,60120,MAYTOWN,IL,,, 
21 SEVENTH AV,60121,SHAWS,IL,,, 
22 WEST RUN RD,60122,ANCHOR,IL,,, 
23 WM FLYNN HW,60123,ARLINGTON,IL,,, 
24 ANDERSON RD,60124,ARMINGTON,IL,,, 
25 OHIO RIVER BL,60125,BURT,IL,,, 
26 ANDERSON RD,60126,HITTLE,IL,,, 
27 SCOTT TOWNE CENTER ENTRANCE PZ,60127,AROMA PARK,IL,,, 
28 PA ROUTE 51 HW,60128,ARROWSMITH,IL,,, 
29 BOWER HILL RD,60129,SABINA,IL,,, 
30 GIBSON RD,60130,WEST,IL,,, 
31 FIFTH AVENUE AV,60131,ASHKUM,IL,,, 
32 MORROW RD,60132,ASTORIA,IL,,, 
33 WASHINGTON RD,60133,SUMMUM,IL,,, 
34 WEST MAIN STREET ST,60134,ATLANTA,IL,,, 
35 CALIFORNIA AVE AV,60135,AURORA,IL,,, 
36 BUSINESS 60 EX,60136,AURORA,IL,,, 
37 LITTLE PINE CREEK RD,60137,AURORA,IL,,, 
38 OLD STATE RD,60138,AURORA,IL,,, 
39 THOMS RUN RD,60139,AURORA,IL,,, 
40 DUQUESNE AV,60140,AURORA,IL,,, 
41 WEXFORD RD,60141,AURORA,IL,,, 
42 STATE ROUTE 51 NORTH HW,60142,NICOR GAS,IL,,, 
43 SMITHFIELD STREET ST,60143,NORTHERN IL GAS,IL,,, 
44 HOMESTEAD HIGH LEVEL BR,60144,NORTHERN ILL GAS CO,IL,,, 
45 STATE RT 51 HW,60145,AURORA,IL,,, 
46 POTATO GARDEN RUN RD,60146,FOX VALLEY,IL,,, 
47 NORTH LEWIS RUN ROAD RD,60147,AT & T,IL,,, 
48 CHARLES ST,60148,AURORA,IL,,, 
49 WASHINGTON RD,60149,AVON,IL,,, 
50 PERRY HW,60150,CHECK ROW,IL,,, 
51 SCHIENBACH ROAD RD,60151,GREENBUSH,IL,,, 
52 CONGRESS ST,60152,BARDOLPH,IL,,, 
53 SCRUBGRASS RD,60153,BARTLETT,IL,,, 
54 ELIZABETH AVENUE AV,60154,ONTARIOVILLE,IL,,, 
55 WEST RUN RD,60155,CLOVERDALE,IL,,, 
56 GREENTREE RD,60156,STREAMWOOD,IL,,, 
57 TIMBERYOKE DR,60157,HANOVER PARK,IL,,, 
58 MCLAUGHLIN RUN RD,60158,BARTLETT,IL,,, 
59 LESNETT RD,60159,BATAVIA,IL,,, 
60 MORTON RD,60160,MOOSEHEART,IL,,, 
61 WILLIAM PENN HW,60161,BATAVIA,IL,,, 
62 ARBOR LN,60162,BEAVERVILLE,IL,,, 
63 GATES DR,60163,BEECHER,IL,,, 
64 FERN HOLLOW RD,60164,EAGLE LAKE,IL,,, 
65 WASHINGTON ST,60165,GOODENOW,IL,,, 
66 COAL VALLEY #3 RD,60166,SOLLITT,IL,,, 
67 MCLAUGHLIN RUN RD,60167,BELLFLOWER,IL,,, 
68 WILLIAM FLYNN HW,60168,GLEN AVON,IL,,, 
69 GIBSONIA RD,60169,KUMLER,IL,,, 
70 COAL VALLEY ROAD #2 RD,60170,BELLWOOD,IL,,, 
71 WASHINGTON PK,60171,BENSENVILLE,IL,,, 
72 WASHINGTON AV,60172,BRADFORD GROUP,IL,,, 
