reportno,vin,repaircost
1,1234618806,17884
2,1234584581,2586
3,1234606620,13951
4,1234604101,7892
5,1234631468,9347
6,1234668340,8145
7,1234640561,18340
8,1234575013,9685
9,1234615472,7738
10,1234631831,8863
11,1234577342,18557
12,1234644632,10475
13,1234650149,8146
14,1234628296,9642
15,1234598704,7241
16,1234569321,17350
17,1234659928,14270
18,1234624265,18787
19,1234595834,13192
20,1234668555,13530
21,1234582086,7085
22,1234644272,5922
23,1234575579,11273
24,1234615663,3951
25,1234667123,7437
26,1234622048,18974
27,1234593344,13661
28,1234653501,16506
29,1234645373,7609
30,1234596374,11155
31,1234599925,12506
32,1234630255,6124
33,1234606203,14583
34,1234580011,10430
35,1234584459,4208
36,1234620885,6390
37,1234647492,4048
38,1234669681,5113
39,1234633555,16937
40,1234593282,2790
41,1234573539,19289
42,1234605420,3915
43,1234570108,5383
44,1234662747,9129
45,1234577105,8908
46,1234662910,10356
47,1234572001,8364
48,1234625669,15713
49,1234634306,2034
50,1234644161,15552
51,1234660897,11002
52,1234573500,10771
53,1234585386,19500
54,1234604503,6904
55,1234615882,6467
56,1234625585,13338
57,1234583585,5780
58,1234579403,12107
59,1234640580,8959
60,1234638362,19775
61,1234581211,4502
62,1234576845,18802
63,1234669438,4985
64,1234612283,13184
65,1234639127,10544
66,1234603679,10085
67,1234580211,3409
68,1234650931,15699
69,1234608066,3926
70,1234633945,19338
71,1234583761,10002
72,1234647193,7483
73,1234636604,9010
74,1234608901,5235
75,1234664671,9977
76,1234629635,3744
77,1234573850,3752
78,1234619761,11546
79,1234612502,19380
80,1234600545,19190
81,1234668593,2501
82,1234580992,4632
83,1234568731,13973
84,1234623022,14991
85,1234609266,10070
86,1234595826,6583
87,1234640408,15545
88,1234657029,16951
89,1234618289,10266
90,1234594649,19080
91,1234577291,10291
92,1234579075,12984
93,1234582522,17890
94,1234664963,19879
95,1234572334,19541
96,1234585516,11939
97,1234596699,10759
98,1234663189,16240
99,1234660913,14000
100,1234575281,9554
101,1234620668,13625
102,1234574065,16293
103,1234577579,12150
104,1234611118,2207
105,1234665140,7168
106,1234579396,3853
107,1234669426,9288
108,1234617233,16837
109,1234578300,2208
110,1234613165,2629
111,1234662114,18111
112,1234649961,3932
113,1234644167,17952
114,1234651513,8357
115,1234600865,16031
116,1234636079,16081
117,1234609239,2969
118,1234611907,11907
119,1234598359,18234
120,1234630340,17689
121,1234580403,7625
122,1234577820,19763
123,1234608294,6278
124,1234570759,11314
125,1234648322,12087
126,1234616387,6584
127,1234621907,4477
128,1234585690,6630
129,1234586999,6113
130,1234606319,4671
131,1234624157,5040
132,1234612460,7068
133,1234660213,12111
134,1234579090,9970
135,1234592081,3722
136,1234580530,10646
137,1234608608,6683
138,1234619255,18173
139,1234647690,8566
140,1234625822,17095
141,1234666435,10739
142,1234654288,5980
143,1234640195,15933
144,1234569670,5442
145,1234588930,2964
146,1234650106,11894
147,1234629984,6745
148,1234614718,15879
149,1234598796,19607
150,1234597218,2004
151,1234578181,15887
152,1234669243,17771
153,1234648148,10908
154,1234617423,13465
155,1234568984,4238
156,1234626520,15181
157,1234610496,18382
158,1234628729,8796
159,1234586603,8070
160,1234651743,6516
161,1234648353,10773
162,1234663751,13806
163,1234580302,11894
164,1234620940,12863
165,1234649758,5323
166,1234620479,8881
167,1234624141,6082
168,1234607787,15157
169,1234650382,12229
170,1234594402,13639
171,1234635449,8518
172,1234584790,13412
173,1234630354,7781
174,1234645587,10790
175,1234578353,8849
176,1234628340,6332
177,1234669021,16358
178,1234655299,19037
179,1234588364,18436
180,1234577862,19385
181,1234652198,18792
182,1234586343,2807
183,1234583370,18386
184,1234582622,3669
185,1234603815,9269
186,1234612643,9866
187,1234666452,11991
188,1234569176,4477
189,1234654102,6255
190,1234666045,17180
191,1234633415,10039
192,1234584690,19213
193,1234593777,2601
194,1234640862,13293
195,1234635918,6775
196,1234577258,8795
197,1234588902,8138
198,1234620023,9891
199,1234657025,12647
200,1234666223,18881
201,1234637529,6704
202,1234649174,6916
203,1234647112,17459
204,1234590428,3372
205,1234644192,16353
206,1234601303,19949
207,1234580080,15454
208,1234604925,3739
209,1234570906,6211
210,1234567900,14880
211,1234642756,12918
212,1234595212,9049
213,1234636118,15093
214,1234633568,6206
215,1234581108,18055
216,1234649473,4329
217,1234653969,17090
218,1234652883,19084
219,1234627652,11694
220,1234661098,7215
221,1234632647,13172
222,1234611913,10223
223,1234625783,4834
224,1234629102,16308
225,1234576409,2954
226,1234612198,2232
227,1234650821,15209
228,1234665548,7946
229,1234627095,8882
230,1234617807,11492
231,1234650086,6532
232,1234594088,6773
233,1234652128,16092
234,1234585726,18957
235,1234629082,8182
236,1234662274,8380
237,1234650020,4495
238,1234596135,5949
239,1234609873,12897
240,1234628264,13276
241,1234645307,5896
242,1234602559,9767
243,1234607997,3652
244,1234612492,2097
245,1234583044,10304
246,1234595082,8475
247,1234623796,15701
248,1234651183,9820
249,1234567922,13532
250,1234569540,15481
251,1234599737,5515
252,1234639521,18316
253,1234568995,14935
254,1234589460,18292
255,1234622983,4662
256,1234591579,12367
257,1234581164,4715
258,1234578627,8291
259,1234614550,14882
260,1234646616,15344
261,1234580919,13391
262,1234658577,13771
263,1234622155,19270
264,1234626893,14596
265,1234589646,14200
266,1234651141,19598
267,1234575537,11718
268,1234605016,5715
269,1234568904,15552
270,1234615063,8108
271,1234667425,16354
272,1234576136,6994
273,1234581947,4740
274,1234629230,7079
275,1234637704,15983
276,1234615776,14711
277,1234641032,8602
278,1234646003,13571
279,1234630086,10300
280,1234572974,7779
281,1234618055,18168
282,1234639098,3200
283,1234588335,5174
284,1234657505,2061
285,1234588519,10973
286,1234611279,18644
287,1234609856,5366
288,1234619765,19963
289,1234608262,2262
290,1234634944,4293
291,1234584030,6063
292,1234598236,15245
293,1234614290,7627
294,1234662615,8098
295,1234571821,8346
296,1234581598,5337
297,1234669519,13267
298,1234622866,8767
299,1234610771,18444
300,1234652366,19772
301,1234593454,17010
302,1234623566,17397
303,1234605773,15500
304,1234576165,6860
305,1234616523,5064
306,1234605909,10537
307,1234588965,11183
308,1234662761,19682
309,1234574619,16907
310,1234586636,18072
311,1234643402,6597
312,1234665917,16320
313,1234661459,9917
314,1234596902,15883
315,1234586272,3493
316,1234660105,18966
317,1234637834,5148
318,1234620495,15467
319,1234653788,4327
320,1234600151,10783
321,1234626989,10814
322,1234587163,10124
323,1234651043,18187
324,1234625974,13750
325,1234627130,9749
326,1234659456,10150
327,1234622741,4326
328,1234628881,17568
329,1234626915,5085
330,1234668010,15844
331,1234634123,19273
332,1234607544,17401
333,1234578403,16153
334,1234637260,19576
335,1234571842,4745
336,1234648169,16297
337,1234635087,12329
338,1234639222,15439
339,1234666884,9090
340,1234646127,13155
341,1234568574,13969
342,1234616964,15911
343,1234649089,8796
344,1234609672,9456
345,1234617122,15695
346,1234574260,14109
347,1234583447,5617
348,1234645811,18250
349,1234645007,8809
350,1234573563,6072
351,1234638595,2828
352,1234627197,15929
353,1234667648,3384
354,1234569725,5418
355,1234606497,10773
356,1234633300,11085
357,1234638618,4903
358,1234567965,5697
359,1234652975,5410
360,1234598296,18548
361,1234643711,7211
362,1234663708,3699
363,1234635244,3324
364,1234611576,17186
365,1234603204,14366
366,1234586343,12311
367,1234655127,9119
368,1234570514,7008
369,1234655315,3014
370,1234663464,10940
371,1234633527,5765
372,1234630048,12191
373,1234641995,5719
374,1234606829,4782
375,1234601263,15556
376,1234621115,11258
377,1234659044,16185
378,1234581070,19899
379,1234665211,6073
380,1234617431,12081
381,1234571934,9750
382,1234570258,18084
383,1234626804,12915
384,1234651282,17226
385,1234647544,4870
386,1234598459,7411
387,1234628449,17623
388,1234602013,9547
389,1234652688,2073
390,1234650054,12591
391,1234616801,18561
392,1234662382,4946
393,1234602264,5685
394,1234638009,6146
395,1234650361,3106
396,1234649271,3296
397,1234588912,10575
398,1234578931,13999
399,1234597548,12289
400,1234587184,17063
401,1234650210,16679
402,1234619033,4550
403,1234644370,9957
404,1234621581,5552
405,1234635370,13275
406,1234589756,12999
407,1234634004,11020
408,1234604070,6330
409,1234609929,8330
410,1234608300,7864
411,1234641331,19349
412,1234579184,10121
413,1234578768,16457
414,1234609210,3852
415,1234638153,19402
416,1234584010,2981
417,1234590293,3117
418,1234571316,11873
419,1234636475,2090
420,1234575065,8508
421,1234602392,11232
422,1234600423,15062
423,1234600746,2170
424,1234655798,5499
425,1234661985,5638
426,1234632936,16371
427,1234601581,5862
428,1234643388,8133
429,1234581202,10112
430,1234602571,7002
431,1234642493,2045
432,1234619655,6392
433,1234581515,18996
434,1234604115,18319
435,1234635816,13757
436,1234619052,7072
437,1234606257,17286
438,1234580998,11695
439,1234647200,15663
440,1234619948,4269
441,1234600401,12912
442,1234592171,9296
443,1234645775,17352
444,1234601364,5176
445,1234649616,11818
446,1234584631,4353
447,1234617052,3939
448,1234618636,6793
449,1234644536,16156
450,1234609299,11485
451,1234649945,8019
452,1234642535,4855
453,1234586617,5222
454,1234590290,5274
455,1234618105,4145
456,1234638315,13408
457,1234614258,6984
458,1234655840,7352
459,1234666909,15468
460,1234629566,14186
461,1234586630,2498
462,1234626334,5489
463,1234636004,15965
464,1234648918,9774
465,1234589437,18723
466,1234643559,18585
467,1234647951,18877
468,1234653093,19564
469,1234638196,3353
470,1234572878,18214
471,1234669660,3916
472,1234597715,13473
473,1234585682,4929
474,1234609724,7347
475,1234633796,7434
476,1234663748,4213
477,1234662035,7733
478,1234634704,11841
479,1234571611,6685
480,1234669327,4999
481,1234646289,14519
482,1234643686,12452
483,1234640944,14799
484,1234617713,9526
485,1234589666,16152
486,1234576614,12206
487,1234602674,12543
488,1234585779,14170
489,1234615641,19006
490,1234648994,9873
