planno,cid,aid
4,1,3232
2,2,737
3,3,1385
3,4,2610
1,5,1728
4,6,1169
3,7,1136
2,8,1433
3,9,631
2,10,840
3,11,2591
1,12,2312
1,13,2735
2,14,2472
3,15,2158
4,16,2284
2,17,1769
3,18,1708
3,19,2974
1,20,1191
4,21,606
4,22,2617
4,23,2426
4,24,1986
3,25,2930
4,26,3263
4,27,226
3,28,1326
2,29,2006
4,30,1545
3,31,110
2,32,3233
1,33,2866
3,34,1660
1,35,3590
1,36,1341
1,37,2933
1,38,1660
1,39,1386
2,40,138
2,41,282
3,42,539
4,43,1664
4,44,1036
2,45,2666
4,46,1325
1,47,3149
3,48,1751
2,49,767
1,50,2778
1,51,3024
3,52,1177
3,53,575
2,54,1556
2,55,2121
2,56,693
4,57,2412
1,58,902
2,59,1586
4,60,3324
3,61,2587
2,62,3189
3,63,692
1,64,1999
3,65,3350
4,66,492
4,67,457
2,68,2169
4,69,2307
4,70,2942
1,71,3479
3,72,1348
3,73,3039
4,74,3194
2,75,2036
3,76,3319
2,77,1341
2,78,1612
3,79,386
2,80,3418
2,81,2014
4,82,635
4,83,3495
3,84,3215
4,85,2636
2,86,3394
1,87,20
4,88,1117
4,89,514
3,90,2533
2,91,2183
4,92,841
1,93,2568
4,94,1749
2,95,374
2,96,1852
1,97,1731
3,98,2747
1,99,1843
4,100,2658
1,101,3050
1,102,347
2,103,3130
2,104,1802
4,105,1565
3,106,2141
2,107,2809
2,108,292
4,109,197
4,110,1572
4,111,520
1,112,2805
3,113,807
3,114,1144
2,115,988
4,116,3070
2,117,1197
2,118,2978
1,119,3248
3,120,2052
1,121,1580
3,122,16
1,123,132
2,124,3106
2,125,595
2,126,2347
2,127,867
1,128,2513
3,129,2102
2,130,1534
3,131,222
3,132,2631
4,133,3565
1,134,1108
3,135,2513
3,136,445
2,137,156
1,138,944
2,139,490
2,140,3127
1,141,1882
1,142,3434
2,143,2742
1,144,2106
3,145,1440
4,146,3143
1,147,1357
1,148,801
1,149,2009
4,150,554
1,151,2488
4,152,1885
4,153,210
3,154,2891
4,155,411
2,156,3025
3,157,2033
3,158,927
3,159,792
3,160,3101
4,161,1239
4,162,1182
4,163,479
2,164,1967
1,165,743
3,166,3116
3,167,1101
1,168,1236
2,169,2369
3,170,1917
1,171,535
4,172,2047
4,173,1652
4,174,708
2,175,2525
1,176,3516
3,177,623
4,178,1979
3,179,2311
4,180,1775
3,181,350
1,182,1810
3,183,2288
2,184,752
1,185,1943
4,186,3423
2,187,135
4,188,2304
2,189,270
1,190,2656
3,191,2625
4,192,3061
1,193,686
1,194,723
2,195,1755
3,196,1109
4,197,313
3,198,1156
3,199,2996
1,200,352
1,201,2594
1,202,1425
3,203,3489
3,204,1791
3,205,3141
2,206,293
1,207,2504
1,208,2280
4,209,296
4,210,2567
2,211,59
4,212,520
