cid,reportno,isguilty
25091,1,1
71191,2,0
46372,3,1
34269,4,0
66602,5,0
29098,6,1
53365,7,0
57134,8,0
78545,9,1
3380,10,0
75110,11,1
4413,12,0
21198,13,0
44000,14,1
72822,15,0
4736,16,0
73785,17,0
98478,18,0
34590,19,0
61542,20,0
5563,21,0
69902,22,1
93428,23,0
8047,24,0
3213,25,1
33681,26,1
35467,27,0
84800,28,0
53046,29,0
86011,30,1
61393,31,1
30248,32,0
85177,33,1
14522,34,1
16278,35,1
11622,36,0
49236,37,0
6852,38,0
2272,39,1
6607,40,1
97672,41,1
96657,42,0
12141,43,0
28459,44,1
31761,45,1
12891,46,1
4809,47,1
87034,48,0
66235,49,0
10514,50,0
11594,51,1
66996,52,0
18914,53,1
36976,54,0
70357,55,0
46818,56,1
26936,57,0
23238,58,1
96759,59,1
48569,60,0
29645,61,1
67050,62,1
20749,63,1
3675,64,1
20482,65,1
4584,66,1
12664,67,0
49787,68,0
61558,69,1
82646,70,0
30099,71,0
98234,72,1
57687,73,0
75662,74,1
46463,75,0
12938,76,1
98713,77,1
97347,78,0
49583,79,0
20144,80,1
67846,81,0
3144,82,1
25843,83,1
72457,84,0
35043,85,1
8813,86,1
84972,87,0
45445,88,1
10012,89,1
34079,90,0
48829,91,1
100054,92,0
74630,93,0
70299,94,0
55133,95,0
44609,96,0
73492,97,1
19089,98,0
16344,99,1
9596,100,1
19135,101,0
33432,102,1
9836,103,1
66189,104,1
27580,105,0
13076,106,1
5683,107,1
17437,108,1
25109,109,0
42814,110,0
6659,111,1
95281,112,1
73590,113,0
82404,114,1
10944,115,0
75807,116,0
67408,117,0
89326,118,1
16292,119,0
37775,120,0
97878,121,0
86814,122,0
84371,123,1
93642,124,1
12037,125,0
26820,126,0
64905,127,1
83572,128,1
6221,129,1
5254,130,0
18927,131,1
82967,132,1
49297,133,1
86801,134,1
33020,135,1
66251,136,0
61040,137,1
60394,138,0
55412,139,0
83255,140,1
12734,141,1
52002,142,1
34918,143,1
92784,144,1
45035,145,1
32562,146,0
33430,147,0
29579,148,0
25002,149,0
38381,150,1
69754,151,1
39393,152,0
65996,153,1
30386,154,0
20642,155,1
66711,156,0
55583,157,1
78232,158,1
93347,159,1
1540,160,1
91686,161,1
24216,162,1
37202,163,0
85563,164,1
98501,165,0
84902,166,1
93245,167,0
38070,168,1
26911,169,1
72281,170,0
79963,171,1
30721,172,0
81328,173,1
63493,174,0
85579,175,1
70978,176,1
79645,177,0
49940,178,0
52859,179,1
35753,180,0
16694,181,0
63054,182,0
41776,183,0
30183,184,1
49309,185,0
45702,186,0
11151,187,0
90952,188,0
24122,189,1
21122,190,1
64617,191,1
30980,192,1
54213,193,0
74435,194,0
69658,195,0
53020,196,1
50895,197,1
54777,198,0
39331,199,1
45469,200,1
3480,201,1
32290,202,0
58414,203,0
22129,204,1
6388,205,1
10881,206,0
95456,207,0
98851,208,0
83171,209,1
49677,210,1
17862,211,0
25726,212,1
24180,213,1
2994,214,0
95729,215,1
6255,216,1
71004,217,1
8327,218,1
93000,219,1
2124,220,1
50354,221,1
23999,222,0
75954,223,0
72453,224,1
80690,225,0
78136,226,1
24518,227,1
57846,228,0
86159,229,0
97589,230,1
22194,231,0
36842,232,0
40999,233,0
50197,234,0
57875,235,0
69767,236,1
8326,237,0
4214,238,1
37165,239,0
18142,240,1
61112,241,0
55067,242,0
36598,243,1
28497,244,0
62825,245,1
60563,246,0
19575,247,0
25954,248,0
56308,249,0
86990,250,0
54070,251,0
33153,252,1
26456,253,1
77835,254,1
33788,255,0
70781,256,0
94302,257,0
74340,258,1
15100,259,1
33126,260,0
78316,261,1
37305,262,1
43868,263,1
2021,264,0
77479,265,1
27761,266,0
73631,267,1
13864,268,0
37103,269,0
98982,270,0
37954,271,0
98392,272,1
93877,273,1
66290,274,1
71716,275,0
33980,276,1
3515,277,1
4883,278,0
35417,279,0
75294,280,1
68526,281,1
55021,282,0
77332,283,0
22816,284,0
27248,285,0
17617,286,0
6782,287,0
65866,288,0
33597,289,0
47259,290,1
64933,291,1
56764,292,0
28058,293,0
66937,294,0
93909,295,1
13133,296,0
94914,297,0
78749,298,1
60224,299,0
47683,300,1
31655,301,0
14741,302,0
72342,303,0
5274,304,0
86399,305,1
95622,306,0
65050,307,1
69181,308,0
16346,309,1
42989,310,0
5843,311,1
99458,312,0
94121,313,0
91702,314,0
11108,315,0
83463,316,0
34994,317,1
21254,318,1
71587,319,0
64558,320,1
40668,321,0
80646,322,1
51994,323,0
12816,324,1
23996,325,1
18078,326,0
32435,327,0
63351,328,1
87002,329,0
6765,330,1
16936,331,1
27363,332,0
85880,333,1
68261,334,0
83134,335,0
63209,336,0
19974,337,0
34237,338,0
24713,339,1
61150,340,1
35375,341,1
27472,342,0
100165,343,0
11134,344,0
31736,345,0
13702,346,0
73669,347,0
41282,348,0
89491,349,0
81984,350,1
94903,351,0
99007,352,0
56143,353,1
94923,354,1
82739,355,0
4238,356,0
81214,357,0
90184,358,0
72821,359,1
51133,360,1
83204,361,1
76556,362,0
39351,363,0
17973,364,1
2061,365,1
41875,366,0
25345,367,0
3590,368,0
44790,369,0
41184,370,1
13629,371,0
72721,372,0
90032,373,0
32247,374,1
32922,375,0
85491,376,0
81216,377,0
89478,378,1
51386,379,1
21879,380,0
13218,381,0
99304,382,0
91014,383,0
50758,384,1
67775,385,0
11922,386,0
84924,387,1
47926,388,0
65949,389,1
18500,390,0
87348,391,0
47479,392,0
34497,393,0
16385,394,0
80767,395,1
51570,396,0
82795,397,1
32849,398,1
27507,399,0
100419,400,0
50562,401,1
75344,402,1
70639,403,1
7550,404,1
34374,405,1
89708,406,1
71441,407,1
33850,408,0
14045,409,1
61460,410,1
93127,411,0
48764,412,1
21831,413,1
30016,414,0
87753,415,0
83345,416,0
41838,417,1
63355,418,1
18906,419,1
84543,420,1
75519,421,0
98416,422,1
13381,423,1
23406,424,1
64146,425,0
42159,426,0
58966,427,1
82314,428,0
24525,429,1
24206,430,1
56937,431,0
94853,432,0
49783,433,1
96938,434,0
13318,435,1
87718,436,1
29266,437,1
61945,438,1
38622,439,0
88481,440,0
72285,441,1
57634,442,1
67155,443,1
80548,444,0
68093,445,0
51640,446,0
94030,447,0
87673,448,1
27037,449,0
66125,450,0
22409,451,1
40830,452,1
63657,453,0
29893,454,1
55036,455,0
56338,456,0
89438,457,1
95902,458,0
64655,459,1
6479,460,0
10612,461,1
82888,462,0
73424,463,1
51204,464,0
79337,465,1
95796,466,1
85701,467,0
2947,468,0
68950,469,0
97300,470,0
6426,471,0
40463,472,1
7423,473,1
13465,474,0
76810,475,1
85083,476,1
64002,477,0
88882,478,0
52046,479,0
70312,480,0
60177,481,1
40106,482,1
25411,483,1
57829,484,0
50803,485,1
86340,486,1
58914,487,0
81925,488,1
89214,489,0
32213,490,1
28289,491,1
71570,492,1
20699,493,0
33986,494,1
90952,495,1
36386,496,1
89594,497,1
68129,498,0
30690,499,1
42520,500,1
87096,501,0
75992,502,0
37983,503,1
23968,504,1
94565,505,1
70396,506,0
42835,507,1
22558,508,0
72986,509,0
8617,510,0
59358,511,0
70743,512,0
78890,513,1
80022,514,1
90811,515,0
31800,516,1
85319,517,0
24357,518,0
33234,519,1
53368,520,0
21934,521,0
47149,522,1
64933,523,1
36637,524,1
21960,525,1
19111,526,1
64095,527,1
44387,528,0
9426,529,1
64390,530,0
55189,531,1
18278,532,1
75806,533,1
3476,534,1
93626,535,1
73303,536,1
79014,537,0
31186,538,0
19377,539,0
3049,540,1
47766,541,0
12112,542,0
20807,543,1
71511,544,1
11409,545,0
93306,546,0
22874,547,1
43689,548,1
18898,549,0
31446,550,1
76954,551,1
94116,552,1
80093,553,1
76550,554,0
17623,555,0
75133,556,0
25742,557,1
51036,558,1
98003,559,1
19696,560,0
73491,561,0
30527,562,0
86402,563,1
924,564,1
91233,565,1
51211,566,0
55608,567,1
69893,568,1
64718,569,0
24348,570,1
48407,571,0
7598,572,0
35700,573,0
6857,574,1
74887,575,1
29826,576,0
93463,577,0
84153,578,0
50,579,0
46035,580,1
65916,581,0
58952,582,1
14024,583,1
43627,584,0
47066,585,0
29974,586,1
33892,587,0
98141,588,0
42962,589,0
78778,590,1
45797,591,0
61857,592,1
92205,593,0
89531,594,1
99164,595,0
6878,596,1
79321,597,0
16249,598,0
50114,599,0
33613,600,0
7272,601,1
29531,602,1
16598,603,1
93388,604,0
21307,605,0
2749,606,1
53805,607,0
46464,608,0
50299,609,1
17129,610,1
26352,611,1
65555,612,1
44646,613,0
32859,614,1
727,615,0
42659,616,0
81089,617,0
64506,618,1
13726,619,0
5495,620,0
19424,621,1
31803,622,1
32055,623,1
67649,624,1
43115,625,0
20879,626,0
81714,627,1
99130,628,1
87432,629,0
30947,630,0
81322,631,1
15923,632,1
73453,633,1
51611,634,0
5943,635,0
93285,636,0
97742,637,0
86914,638,1
87697,639,1
42904,640,1
44529,641,0
22167,642,1
51690,643,0
98526,644,0
75634,645,1
14878,646,1
51148,647,1
76565,648,1
38834,649,1
30143,650,0
90231,651,0
96106,652,0
32460,653,1
57052,654,1
65676,655,1
35682,656,0
56927,657,1
13444,658,0
32118,659,1
68489,660,0
10185,661,0
75247,662,1
41706,663,1
25276,664,0
307,665,1
22680,666,0
62848,667,1
98350,668,1
70944,669,1
1749,670,1
80333,671,0
56651,672,0
98235,673,0
91378,674,1
36576,675,0
95019,676,1
30456,677,1
73126,678,1
99289,679,0
47062,680,1
23924,681,1
45430,682,1
73418,683,1
3287,684,0
82130,685,1
70070,686,0
12058,687,1
67484,688,0
61867,689,1
8849,690,1
3250,691,0
90549,692,1
60025,693,0
46714,694,1
53996,695,1
43847,696,0
57091,697,1
36267,698,1
61005,699,1
70501,700,0
99191,701,1
671,702,1
95619,703,1
58370,704,0
98768,705,0
85190,706,0
22554,707,0
75080,708,1
46537,709,0
60418,710,0
18778,711,0
66685,712,0
9436,713,0
38113,714,0
80590,715,0
25302,716,1
91300,717,0
91974,718,0
61871,719,1
68141,720,0
49110,721,0
97929,722,0
54518,723,1
46537,724,0
97210,725,1
41370,726,0
70731,727,0
68902,728,0
24562,729,1
15273,730,0
20157,731,0
62205,732,0
15610,733,0
18933,734,1
39898,735,0
52842,736,0
46366,737,0
39589,738,1
86798,739,0
42294,740,1
5015,741,0
72741,742,1
67436,743,0
15105,744,0
16054,745,1
41999,746,1
84343,747,1
78469,748,0
63877,749,0
55720,750,1
73243,751,1
65791,752,0
922,753,1
53629,754,0
6709,755,0
55905,756,0
62820,757,0
11896,758,1
25432,759,1
11214,760,1
67395,761,1
35368,762,0
23602,763,0
21364,764,1
27868,765,1
47667,766,1
70921,767,1
75594,768,0
80850,769,0
62390,770,0
53343,771,0
35321,772,0
34258,773,0
58949,774,0
48708,775,0
623,776,0
49766,777,0
25919,778,0
7928,779,0
48857,780,0
2560,781,1
2855,782,0
30249,783,1
93280,784,1
35122,785,0
35403,786,0
63592,787,1
1558,788,0
39190,789,1
64853,790,0
41065,791,1
90116,792,1
83248,793,0
89264,794,1
81941,795,1
135,796,0
59435,797,0
6027,798,1
61215,799,0
57004,800,1
70206,801,0
49724,802,0
87804,803,0
89024,804,0
62521,805,1
1964,806,1
87504,807,0
35916,808,0
51764,809,0
94579,810,0
100357,811,0
53651,812,0
34980,813,0
56628,814,1
18321,815,1
81517,816,1
26716,817,0
47210,818,1
83574,819,1
13629,820,0
42133,821,1
24314,822,1
89675,823,0
6346,824,0
54383,825,0
19822,826,0
16747,827,0
56249,828,0
21734,829,0
28613,830,0
53308,831,1
3942,832,1
78512,833,1
23020,834,0
76054,835,1
52976,836,0
98539,837,1
45247,838,0
55199,839,1
63405,840,0
93307,841,1
73902,842,1
99415,843,0
33679,844,1
86316,845,1
93851,846,0
12167,847,1
11723,848,0
56854,849,0
44638,850,1
86482,851,0
53445,852,0
78564,853,0
66654,854,1
31715,855,0
6991,856,1
9013,857,1
82734,858,1
7328,859,1
99872,860,0
12001,861,1
79046,862,1
75172,863,1
55805,864,1
66840,865,1
44206,866,0
54677,867,0
4823,868,0
76734,869,0
75689,870,0
13274,871,1
5891,872,1
33829,873,1
32484,874,1
60225,875,0
45970,876,1
55795,877,1
42803,878,1
97520,879,1
36466,880,1
6068,881,1
8747,882,1
11921,883,0
18626,884,0
15250,885,1
27557,886,1
64850,887,0
91376,888,1
50150,889,0
85327,890,0
13564,891,1
9424,892,0
49495,893,1
44229,894,0
80712,895,1
51789,896,1
70204,897,1
45672,898,1
41624,899,1
85279,900,1
5228,901,1
58441,902,1
21310,903,0
17390,904,1
12496,905,0
87724,906,0
21357,907,1
19494,908,0
87557,909,1
25803,910,0
67626,911,0
25060,912,0
88358,913,1
86005,914,0
886,915,0
26285,916,1
85192,917,0
47005,918,1
88050,919,0
80656,920,0
68143,921,0
26878,922,1
57380,923,1
82331,924,1
31630,925,1
7841,926,1
99337,927,0
23965,928,0
53737,929,1
87217,930,1
81665,931,0
95443,932,1
17673,933,0
92576,934,0
82534,935,0
