hid,buildyear,type,price,planno
1,2002,Wood,95610,4
2,1978,Brick,370861,4
3,1986,Brick,35842,4
4,2006,Brick,172618,3
5,1941,Brick and Wood,490892,3
6,1970,Brick and Wood,73426,3
7,1968,Wood,200733,3
8,1946,Brick and Wood,415090,4
9,1979,Brick and Wood,446835,4
10,1966,Wood,353651,3
11,1975,Brick and Wood,318376,3
12,1944,Wood,258242,3
13,2012,Brick and Wood,267207,3
14,1996,Brick and Wood,33353,3
15,1937,Brick and Wood,456385,4
16,1989,Wood,104654,4
17,2000,Brick and Wood,493167,4
18,2001,Brick and Wood,285789,3
19,1971,Wood,448138,4
20,1965,Brick,390785,3
21,1988,Brick and Wood,478886,3
22,1941,Brick and Wood,209616,3
23,2015,Brick,239960,4
24,1974,Wood,406185,4
25,1971,Brick,186656,3
26,1996,Brick,211701,3
27,2001,Wood,366102,4
28,1999,Brick and Wood,496822,3
29,1958,Brick,345722,4
30,1977,Brick,283423,4
31,1932,Wood,128117,3
32,1932,Brick,376798,3
33,1955,Wood,175746,4
34,1942,Brick and Wood,339276,3
35,1977,Brick,473919,4
36,2015,Brick and Wood,178035,4
37,1995,Brick and Wood,490786,4
38,1948,Brick and Wood,388062,4
39,1964,Brick,457808,3
40,1974,Wood,124403,4
41,1930,Brick,406971,4
42,1964,Brick and Wood,299373,3
43,1992,Brick and Wood,452369,4
44,1995,Wood,90449,3
45,2012,Wood,444052,3
46,1976,Brick,333480,3
47,1958,Brick,231831,4
48,2009,Brick and Wood,173954,3
49,1969,Wood,483939,3
50,1935,Brick and Wood,40494,3
51,1966,Wood,437337,3
52,1987,Wood,267566,3
53,1932,Brick and Wood,268106,3
54,1935,Brick and Wood,91471,4
55,1959,Brick and Wood,272950,4
56,1950,Wood,198637,3
57,1978,Brick and Wood,135739,3
58,1994,Wood,330073,4
59,1957,Brick and Wood,120683,4
60,1947,Wood,189249,4
61,1951,Brick,250711,4
62,1998,Brick,195321,3
63,1936,Brick and Wood,244458,3
64,1930,Brick and Wood,78889,4
65,2011,Wood,229343,3
66,1950,Brick,394919,3
67,1960,Brick,51397,4
68,1982,Brick and Wood,158503,4
69,1950,Brick and Wood,352192,4
70,2008,Brick and Wood,55636,3
71,1962,Brick,55160,4
72,1962,Brick,357499,3
73,2007,Wood,345855,3
74,1936,Wood,150227,3
75,1979,Brick and Wood,162885,3
76,1931,Wood,207045,3
77,1938,Brick,405357,4
78,2004,Brick and Wood,294465,3
79,1948,Wood,148179,3
80,1999,Wood,143848,4
81,1965,Wood,188192,4
82,1970,Wood,395096,3
83,1940,Brick,437676,4
84,2014,Brick,404334,3
85,1971,Brick and Wood,232750,4
86,1976,Brick and Wood,471015,3
87,1946,Brick,260704,3
88,1982,Brick and Wood,81417,4
89,1944,Brick and Wood,149415,4
90,2015,Brick and Wood,142006,3
91,1950,Brick,152861,3
92,2001,Brick,44510,4
93,1981,Brick and Wood,70396,3
94,1972,Brick,147766,4
95,2010,Wood,85390,3
96,1949,Brick and Wood,180599,4
97,1974,Brick and Wood,431865,3
98,1956,Brick,333778,3
99,1992,Brick and Wood,462540,4
100,2014,Wood,238549,3
101,1951,Wood,425192,3
102,1939,Brick,499345,4
103,1958,Wood,372009,3
104,1972,Wood,67893,3
105,1969,Wood,355738,3
106,1999,Wood,283221,3
107,1987,Brick and Wood,61688,4
108,1940,Brick and Wood,394400,4
109,1972,Wood,90809,4
110,1937,Brick,316814,3
111,1956,Brick,381530,4
112,2000,Brick,284214,4
113,1972,Brick and Wood,65707,3
114,2016,Wood,375137,3
115,2016,Wood,452132,4
116,2012,Wood,310076,4
117,1964,Brick and Wood,401852,3
118,2016,Wood,177598,3
119,1994,Wood,442460,3
120,1970,Brick and Wood,219429,3
121,1941,Brick and Wood,251675,3
122,2009,Wood,103093,3
123,1985,Wood,215750,3
124,1940,Brick,456303,4
125,1964,Brick,219016,3
126,1932,Brick and Wood,374544,4
127,1947,Brick and Wood,89422,4
128,1984,Brick and Wood,148646,4
129,1951,Brick,239227,4
130,1990,Brick and Wood,448297,4
131,1996,Wood,36430,4
132,1985,Wood,208458,4
133,1942,Brick,150786,3
134,2007,Brick and Wood,287273,3
135,1964,Brick,432864,3
136,2016,Brick and Wood,157242,3
137,2010,Brick and Wood,234563,3
138,1952,Brick and Wood,155029,4
139,1995,Wood,452285,4
140,1950,Brick,152032,3
141,1962,Wood,186849,4
142,2004,Brick,249100,4
143,1941,Brick and Wood,206784,4
144,1940,Brick and Wood,371375,4
145,2003,Wood,353519,4
146,1972,Brick,130940,4
147,1999,Brick,256475,3
148,1971,Wood,366961,3
149,2002,Brick and Wood,49629,4
150,2009,Wood,140551,3
151,2016,Brick,238598,4
152,1980,Brick and Wood,153031,3
153,1945,Brick and Wood,336844,4
154,1937,Wood,68403,4
155,2014,Wood,151776,3
156,2012,Wood,99377,3
157,1938,Brick and Wood,468098,4
158,1979,Brick and Wood,266927,3
159,1942,Brick and Wood,281051,3
160,1966,Wood,114989,4
161,1941,Wood,406301,3
162,1956,Brick,302896,3
163,1986,Brick,285958,3
164,1950,Wood,39054,4
165,1936,Brick,404440,3
166,2010,Brick and Wood,490793,3
167,1966,Wood,159426,3
168,2008,Brick,354872,3
169,1932,Brick and Wood,44881,4
170,1991,Brick,376970,4
171,1983,Wood,308197,4
172,1973,Brick and Wood,61785,4
173,1968,Wood,77545,3
174,1993,Brick and Wood,482694,3
175,1960,Brick,404028,4
176,1951,Brick,207047,3
177,2001,Wood,200935,3
178,1958,Brick,318301,3
179,1981,Brick,167077,3
180,1985,Brick,429573,3
181,1993,Wood,155798,3
182,1958,Wood,76168,3
183,1990,Wood,51501,4
184,1980,Wood,231706,4
185,2014,Brick,167591,4
186,1948,Brick and Wood,404714,4
187,1934,Brick,344796,3
188,2000,Wood,125429,4
189,1943,Brick,181521,3
190,2015,Brick,168436,4
191,1980,Brick,344092,4
192,1963,Brick,63351,3
193,1960,Brick,393541,3
194,1983,Brick,379702,3
195,2012,Wood,202491,4
196,1964,Wood,214614,3
197,1952,Wood,306555,3
198,2014,Brick and Wood,356285,3
199,1989,Brick and Wood,409989,3
200,1968,Brick,488704,3
201,1939,Brick,55281,4
202,1996,Brick and Wood,94912,4
203,1966,Wood,422005,3
204,1950,Brick,268023,3
205,1930,Wood,93016,3
206,1948,Brick and Wood,165933,4
207,2006,Brick and Wood,463954,3
208,2002,Brick,100140,4
209,1957,Wood,493351,3
210,2014,Brick and Wood,402982,4
211,1954,Brick,104122,3
212,1987,Brick and Wood,455664,4
213,1956,Wood,71494,4
214,1947,Brick,353983,4
215,1932,Brick,36952,3
216,1993,Brick and Wood,430835,4
